setting,case_id,target,delta,reference_delta,jbc_same,lgcs_same,jbc_reference_change
peak_parallel_penalty_minus20,C106,3,0.02403715030189879,0.02403715030189879,True,True,0.0
peak_parallel_penalty_minus20,C106,4,0.02770573774902907,0.027705737749029513,True,True,0.0
peak_parallel_penalty_minus20,C107,1,0.006297688168247273,0.006297688168247273,True,True,0.0
peak_parallel_penalty_minus20,C107,2,0.004277171859023099,0.004277171859023321,True,True,0.0
peak_parallel_penalty_minus20,C108,1,0.023697078710342767,0.023697078710342767,True,True,0.0
peak_parallel_penalty_minus20,C108,2,0.02369707871034299,0.02369707871034299,True,True,0.0
peak_parallel_penalty_minus20,C108,3,0.02483402896354825,0.024834028963547805,True,True,0.0
peak_parallel_penalty_minus20,C108,4,0.015354566898884148,0.015354566898883704,True,True,0.0
peak_parallel_penalty_plus20,C001,1,0.0,0.0,True,True,0.0
peak_parallel_penalty_plus20,C001,2,0.007713977868834876,0.007713977868834654,True,True,0.0
peak_parallel_penalty_plus20,C002,1,0.0,0.0,True,True,0.0
peak_parallel_penalty_plus20,C002,2,0.0,0.0,True,True,0.0
peak_parallel_penalty_plus20,C003,1,0.004632455984694417,0.004632455984694861,True,True,0.0
peak_parallel_penalty_plus20,C003,2,0.005082259356924412,0.005082259356924412,True,True,0.0
peak_parallel_penalty_plus20,C004,1,0.019132372827951105,0.019132372827951105,True,True,0.0
peak_parallel_penalty_plus20,C004,2,0.01339957916766088,0.01339957916766088,True,True,0.0
peak_parallel_penalty_plus20,C005,1,0.016833414813783865,0.016833414813784087,True,True,0.0
peak_parallel_penalty_plus20,C005,2,0.021172322726168202,0.021172322726168202,True,True,0.0
peak_parallel_penalty_plus20,C006,1,0.02104840071325631,0.02104840071325631,True,True,0.0
peak_parallel_penalty_plus20,C006,2,0.007959011199019317,0.007959011199019317,True,True,0.0
peak_parallel_penalty_plus20,C007,1,0.018008445916135818,0.018008445916135818,True,True,0.0
peak_parallel_penalty_plus20,C007,2,0.01459731870336034,0.01459731870336034,True,True,0.0
peak_parallel_penalty_plus20,C008,1,0.021619671504486515,0.021619671504486515,True,True,0.0
peak_parallel_penalty_plus20,C008,2,0.0,0.0,True,True,0.0
peak_parallel_penalty_plus20,C009,1,0.0,0.0,True,True,0.0
peak_parallel_penalty_plus20,C009,2,0.0015324777260086186,0.0015324777260086186,True,True,0.0
peak_parallel_penalty_plus20,C009,3,0.016330035836252144,0.0163300358362517,True,True,0.0
peak_parallel_penalty_plus20,C009,4,0.016330035836252144,0.016330035836252144,True,True,0.0
peak_parallel_penalty_plus20,C010,1,0.005249366926565413,0.005249366926565857,True,True,0.0
peak_parallel_penalty_plus20,C010,2,0.02504133323372182,0.02504133323372182,True,True,0.0
peak_parallel_penalty_plus20,C010,3,0.0913419121667125,0.08713235944671327,True,True,0.0
peak_parallel_penalty_plus20,C010,4,0.09020930590204501,0.08599975318204489,True,True,0.0
peak_parallel_penalty_plus20,C011,1,0.012295730616153744,0.012295730616153744,True,True,0.0
peak_parallel_penalty_plus20,C011,2,0.022906023550124832,0.022659875630124837,True,True,0.0
peak_parallel_penalty_plus20,C012,1,0.010355793079424025,0.010355793079424025,True,True,0.0
peak_parallel_penalty_plus20,C012,2,0.013443731446241003,0.013443731446241003,True,True,0.0
peak_parallel_penalty_plus20,C012,3,0.02078488025024061,0.02078488025024061,True,True,0.0
peak_parallel_penalty_plus20,C012,4,0.011878648571401307,0.011878648571401307,True,True,0.0
peak_parallel_penalty_plus20,C013,1,0.012195269601246617,0.012195269601246839,True,True,0.0
peak_parallel_penalty_plus20,C013,2,0.012749193131051717,0.012749193131051717,True,True,0.0
peak_parallel_penalty_plus20,C014,1,0.012411962636539764,0.012411962636539986,True,True,0.0
peak_parallel_penalty_plus20,C014,2,0.0,0.0,True,True,0.0
peak_parallel_penalty_plus20,C015,1,0.0,0.0,True,True,0.0
peak_parallel_penalty_plus20,C015,2,0.009167643740768838,0.009167643740768838,True,True,0.0
peak_parallel_penalty_plus20,C015,3,0.012686845561646898,0.012686845561647342,True,True,0.0
peak_parallel_penalty_plus20,C015,4,0.012686845561647342,0.012686845561647342,True,True,0.0
peak_parallel_penalty_plus20,C016,1,0.007498659513477612,0.00749865951347739,True,True,0.0
peak_parallel_penalty_plus20,C016,2,0.02239723973771257,0.022397239737712127,True,True,0.0
peak_parallel_penalty_plus20,C016,3,0.028537608901085587,0.028537608901085587,True,True,0.0
peak_parallel_penalty_plus20,C016,4,0.029234054382215824,0.029234054382215824,True,True,0.0
peak_parallel_penalty_plus20,C017,1,0.01132528272632638,0.01132528272632638,True,True,0.0
peak_parallel_penalty_plus20,C017,2,0.006324072240147638,0.006324072240147638,True,True,0.0
peak_parallel_penalty_plus20,C018,1,0.029715526946743953,0.029715526946743953,True,True,0.0
peak_parallel_penalty_plus20,C018,2,0.9412549844564453,0.9412549844564453,True,True,0.0
peak_parallel_penalty_plus20,C018,3,0.020496204308528387,0.020496204308528387,True,True,0.0
peak_parallel_penalty_plus20,C018,4,0.019479440873936493,0.019479440873936937,True,True,0.0
peak_parallel_penalty_plus20,C019,1,0.022689334993359234,0.022689334993359234,True,True,0.0
peak_parallel_penalty_plus20,C019,2,0.5853142671899416,0.5453639667099415,True,True,0.0
peak_parallel_penalty_plus20,C020,1,0.0,0.0,True,True,0.0
peak_parallel_penalty_plus20,C020,2,0.00871335128220374,0.00871335128220374,True,True,0.0
peak_parallel_penalty_plus20,C021,1,0.0,0.0,True,True,0.0
peak_parallel_penalty_plus20,C021,2,0.0,0.0,True,True,0.0
peak_parallel_penalty_plus20,C022,1,0.01494616622909506,0.01494616622909506,True,True,0.0
peak_parallel_penalty_plus20,C022,2,0.01494616622909506,0.01494616622909506,True,True,0.0
peak_parallel_penalty_plus20,C022,3,0.01494616622909506,0.01494616622909506,True,True,0.0
peak_parallel_penalty_plus20,C022,4,0.021749488061083344,0.021749488061083344,True,True,0.0
peak_parallel_penalty_plus20,C023,1,0.02861182468942558,0.028611824689425358,True,True,0.0
