case_id,target,method,attained,score,quality,B,U,total,peak
C045,1,LG+Count,True,0.9146547608723088,0.7346547608723087,1,1,0.0,0.0
C045,1,LG+CS,True,0.9146547608723088,0.7346547608723087,1,1,0.0,0.0
C045,1,JBC,True,0.9146547608723088,0.7346547608723087,1,1,0.0,0.0
C045,2,LocalGreedy,True,0.8988167368328552,0.7188167368328553,2,1,0.0,0.0
C045,2,LG+Count,True,0.8988167368328552,0.7188167368328553,2,1,0.0,0.0
C045,2,LG+CS,True,1.8248727470936892,1.4648727470936893,2,2,0.0,0.0
C045,2,JBC,True,1.82610508381121,1.4661050838112102,2,2,0.0,0.0
C045,3,LocalGreedy,True,1.7639708366179399,1.40397083661794,3,2,0.0,0.0
C045,3,LG+Count,True,1.7639708366179399,1.40397083661794,3,2,0.0,0.0
C045,3,LG+CS,True,1.8187966232987867,1.4587966232987866,3,2,0.0,0.0
C045,3,JBC,True,1.8220408054261505,1.4620408054261504,3,2,0.0,0.0
C045,4,LocalGreedy,True,1.7727844756350541,1.4127844756350543,4,2,0.0,0.0
C045,4,LG+Count,True,1.7727844756350541,1.4127844756350543,4,2,0.0,0.0
C045,4,LG+CS,True,1.8059013037618175,1.4459013037618176,4,2,0.0,0.0
C045,4,JBC,True,1.8115279069803196,1.4515279069803195,4,2,0.0,0.0
C046,1,LocalGreedy,True,0.8543325426346583,0.6976315638346583,1,1,0.022189544,0.022189544
C046,1,LG+Count,True,0.8543325426346583,0.6976315638346583,1,1,0.022189544,0.022189544
C046,1,LG+CS,True,0.8809317373023859,0.7141148506023859,1,1,0.012555346,0.012555346
C046,1,JBC,True,0.9153720462182433,0.7353720462182433,1,1,0.0,0.0
C046,2,LocalGreedy,True,0.877942797028922,0.7159884162289221,2,1,0.017186304,0.017186304
C046,2,LG+Count,True,0.877942797028922,0.7159884162289221,2,1,0.017186304,0.017186304
C046,2,LG+CS,True,0.877942797028922,0.7159884162289221,2,1,0.017186304,0.017186304
C046,2,JBC,True,0.905502931418422,0.725502931418422,2,1,0.0,0.0
C047,1,LocalGreedy,True,0.8620349011086037,0.6820349011086038,1,1,0.0,0.0
C047,1,LG+Count,True,0.8620349011086037,0.6820349011086038,1,1,0.0,0.0
C047,1,LG+CS,True,0.9027258547252839,0.722725854725284,1,1,0.0,0.0
C047,1,JBC,True,0.9071952179053329,0.7271952179053329,1,1,0.0,0.0
C047,2,LocalGreedy,True,0.8807886524641615,0.7007886524641616,2,1,0.0,0.0
C047,2,LG+Count,True,0.8807886524641615,0.7007886524641616,2,1,0.0,0.0
C047,2,LG+CS,True,0.9048995659611518,0.7248995659611519,2,1,0.0,0.0
C047,2,JBC,True,1.8121403200291977,1.4521403200291978,2,2,0.0,0.0
C047,3,LocalGreedy,True,1.7692466696530205,1.4094782881030203,3,2,0.000220589,0.000220589
C047,3,LG+Count,True,1.7692466696530205,1.4094782881030203,3,2,0.000220589,0.000220589
C047,3,LG+CS,True,1.8098446680850167,1.4498446680850168,3,2,0.0,0.0
C047,3,JBC,True,2.7169845526418244,2.1769845526418243,3,3,0.0,0.0
