case_id,prototype_id,backbone_variant,replicate,density_level,l1_count,ordinary_length,D,target,source_dir,residual
A172,proto_sw_1_3,expanded,10,simple,4,1.0662470858302386,0.248608735,0.260770691,../../structural_assets/assets/A172,-0.012161956000000002
A173,proto_sw_1_3,expanded,10,medium,6,1.0724876455296153,0.534975693,0.498331835,../../structural_assets/assets/A173,0.03664385800000003
A174,proto_sw_1_3,expanded,10,rich,6,1.519262882843306,0.650474798,0.691881553,../../structural_assets/assets/A174,-0.04140675500000002
A175,proto_sw_1_3,compact,10,simple,4,1.0644127549067273,0.253486587,0.253456611,../../structural_assets/assets/A175,2.9975999999987124e-05
A176,proto_sw_1_3,compact,10,medium,6,1.380474651150231,0.660413386,0.534100111,../../structural_assets/assets/A176,0.126313275
A177,proto_sw_1_3,compact,10,rich,6,1.4402762400785225,0.761322731,0.757141384,../../structural_assets/assets/A177,0.0041813470000000574
A178,proto_sw_1_3,swept,10,simple,4,1.0699319409497,0.236507073,0.255748274,../../structural_assets/assets/A178,-0.019241200999999986
A179,proto_sw_1_3,swept,10,medium,6,1.2818243588940958,0.575855118,0.532952423,../../structural_assets/assets/A179,0.04290269499999999
A180,proto_sw_1_3,swept,10,rich,6,1.5315466861632758,0.808938792,0.736886271,../../structural_assets/assets/A180,0.07205252099999992
A181,proto_sw_2_3,expanded,1,simple,5,1.213119135861508,0.207308286,0.230035065,../../structural_assets/assets/A181,-0.022726779000000003
A182,proto_sw_2_3,expanded,1,medium,6,1.390693603385254,0.426251633,0.462514963,../../structural_assets/assets/A182,-0.03626332999999998
A183,proto_sw_2_3,expanded,1,rich,6,1.547594372095156,0.561970962,0.689833751,../../structural_assets/assets/A183,-0.12786278900000003
A184,proto_sw_2_3,compact,1,simple,6,1.1762544878259062,0.296174494,0.227987021,../../structural_assets/assets/A184,0.068187473
A185,proto_sw_2_3,compact,1,medium,6,1.4221796432237894,0.486437693,0.465832482,../../structural_assets/assets/A185,0.020605211000000012
A186,proto_sw_2_3,compact,1,rich,7,1.6646722129469038,0.657905809,0.69621236,../../structural_assets/assets/A186,-0.03830655100000002
A187,proto_sw_2_3,swept,1,simple,6,1.3928050719643776,0.383587409,0.243121013,../../structural_assets/assets/A187,0.140466396
A188,proto_sw_2_3,swept,1,medium,6,1.555141766024665,0.496554932,0.474435052,../../structural_assets/assets/A188,0.02211987999999998
A189,proto_sw_2_3,swept,1,rich,6,1.5437881635735196,0.589313926,0.706767745,../../structural_assets/assets/A189,-0.11745381899999996
A190,proto_sw_2_3,expanded,2,simple,6,1.1295333262529383,0.304399263,0.212054486,../../structural_assets/assets/A190,0.09234477699999999
A191,proto_sw_2_3,expanded,2,medium,6,1.2364667143438188,0.475759604,0.45522568,../../structural_assets/assets/A191,0.02053392399999998
A192,proto_sw_2_3,expanded,2,rich,6,1.4478536028566424,0.61497462,0.690889622,../../structural_assets/assets/A192,-0.07591500200000001
A193,proto_sw_2_3,compact,2,simple,5,1.0103100785924546,0.206534629,0.228696316,../../structural_assets/assets/A193,-0.022161687000000013
A194,proto_sw_2_3,compact,2,medium,6,1.299651235354496,0.500102548,0.474087473,../../structural_assets/assets/A194,0.026015075
A195,proto_sw_2_3,compact,2,rich,6,1.5354613444425702,0.634294792,0.716188992,../../structural_assets/assets/A195,-0.08189419999999992
A196,proto_sw_2_3,swept,2,simple,5,1.0222608107547082,0.186492651,0.222941471,../../structural_assets/assets/A196,-0.03644881999999999
A197,proto_sw_2_3,swept,2,medium,6,1.26828502266482,0.484489006,0.464002979,../../structural_assets/assets/A197,0.020486027000000018
A198,proto_sw_2_3,swept,2,rich,6,1.516843817839707,0.641376024,0.696391994,../../structural_assets/assets/A198,-0.055015969999999914
